Rang,Abs. Frekv.,Promille,Kumulert,Ord
547,2307,0.16,596.56,b
548,2306,0.16,596.72,europa
549,2301,0.16,596.88,visste
550,2299,0.16,597.03,alene
551,2295,0.16,597.19,ene
552,2270,0.16,597.35,omkring
553,2268,0.16,597.5,bestemt
554,2268,0.16,597.66,medlemmer
555,2265,0.16,597.81,bl
556,2265,0.16,597.97,økonomisk
557,2263,0.16,598.12,hjemme
558,2259,0.15,598.28,opplysninger
559,2245,0.15,598.43,morgen
560,2245,0.15,598.59,sak
561,2227,0.15,598.74,gammel
562,2227,0.15,598.89,pris
563,2225,0.15,599.04,24
564,2225,0.15,599.2,virkelig
565,2221,0.15,599.35,betydelig
566,2220,0.15,599.5,enkelt
567,2212,0.15,599.65,inntil
568,2212,0.15,599.8,muligheter
569,2212,0.15,599.96,private
570,2211,0.15,600.11,regjering
571,2208,0.15,600.26,november
572,2201,0.15,600.41,viste
573,2199,0.15,600.56,jagland
574,2198,0.15,600.71,bedrifter
575,2197,0.15,600.86,fullt
576,2188,0.15,601.01,praksis
577,2175,0.15,601.16,timer
578,2169,0.15,601.31,dei
579,2167,0.15,601.46,håper
580,2167,0.15,601.61,kjente
581,2166,0.15,601.75,politikk
582,2165,0.15,601.9,mars
583,2165,0.15,602.05,tenke
584,2161,0.15,602.2,tilsvarende
585,2158,0.15,602.35,natt
586,2156,0.15,602.49,erik
587,2152,0.15,602.64,nettopp
588,2150,0.15,602.79,sikkert
589,2147,0.15,602.94,kontakt
590,2141,0.15,603.08,uker
591,2138,0.15,603.23,høy
592,2134,0.15,603.38,avtale
593,2127,0.15,603.52,sterk
594,2126,0.15,603.67,aftenposten
595,2122,0.15,603.81,60
596,2110,0.14,603.96,mente
597,2109,0.14,604.1,områder
598,2104,0.14,604.25,faktisk
599,2103,0.14,604.39,bygge
600,2100,0.14,604.53,kontroll
601,2093,0.14,604.68,trondheim
602,2087,0.14,604.82,svarte
603,2085,0.14,604.96,o
604,2085,0.14,605.11,tidlig
605,2084,0.14,605.25,brukere
606,2083,0.14,605.39,svenske
607,2082,0.14,605.54,ønsket
608,2081,0.14,605.68,januar
609,2076,0.14,605.82,barna
610,2076,0.14,605.96,måten
611,2076,0.14,606.1,nær
612,2074,0.14,606.25,imot
613,2074,0.14,606.39,satte
614,2072,0.14,606.53,23
615,2067,0.14,606.67,vite
616,2065,0.14,606.81,mulighet
